latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price
37.75926,-122.40442,House,Private room,2,2,3,280.0
37.7371,-122.39761,House,Private room,1,1,31,50.0
37.74118,-122.43275,Apartment,Entire home/apt,1,1,30,95.0
37.73258,-122.44126,Apartment,Private room,1,1,30,79.0
37.78128,-122.40346,Loft,Entire home/apt,1,1,1,975.0
37.80392,-122.43422,Apartment,Entire home/apt,1,1,30,145.0
37.76612,-122.42771,Apartment,Entire home/apt,1,4,4,500.0
37.7457,-122.42423,Apartment,Entire home/apt,1,1,60,178.0
37.80031,-122.4064,Apartment,Private room,1,1,30,130.0
37.80329,-122.40708,Condominium,Entire home/apt,1,1,3,350.0
37.731,-122.47932,Apartment,Entire home/apt,1,1,1,250.0
37.74038,-122.41755,House,Private room,1,1,3,79.0
37.7351,-122.4415,House,Private room,1,1,2,85.0
37.74514,-122.40459,House,Private room,1,1,3,90.0
37.77498,-122.48287,House,Entire home/apt,3,5,30,475.0
37.80301,-122.40216,Apartment,Entire home/apt,2,2,30,199.0
37.80264,-122.41046,Condominium,Entire home/apt,2,3,2,949.0
37.75458,-122.40975,Apartment,Entire home/apt,1,2,9,282.0
37.75797,-122.4096,Apartment,Entire home/apt,1,2,4,240.0
37.75292,-122.41875,Guest suite,Private room,1,1,2,85.0
37.75316,-122.42125,House,Entire home/apt,2,3,7,450.0
37.76499,-122.44262,House,Entire home/apt,3,3,3,395.0
37.77431,-122.45236,Apartment,Entire home/apt,1,1,3,135.0
37.75192,-122.41365,Guest suite,Entire home/apt,1,1,2,150.0
37.77532,-122.43741,Apartment,Shared room,1,1,30,67.0
37.7296,-122.42728,House,Private room,3,1,30,35.0
37.75697,-122.42727,House,Entire home/apt,2,3,4,450.0
37.76644,-122.39588,Apartment,Entire home/apt,2,2,4,395.0
37.76369,-122.45304,Guest suite,Entire home/apt,1,1,1,145.0
37.76375,-122.4125,Loft,Entire home/apt,1,2,30,180.0
37.76646,-122.4432,Condominium,Entire home/apt,1,1,30,160.0
37.74028,-122.46885,Guest suite,Entire home/apt,1,1,4,79.0
37.77571,-122.46296,Apartment,Entire home/apt,1,1,3,135.0
37.75935,-122.44437,House,Private room,2,2,30,379.0
37.76284,-122.42443,Condominium,Entire home/apt,2,2,4,322.0
37.74781,-122.50316,Guest suite,Entire home/apt,1,1,1,153.0
37.75354,-122.43372,Apartment,Entire home/apt,1,1,30,170.0
37.7822,-122.404,Loft,Entire home/apt,1,1,30,175.0
37.74935,-122.43532,Guest suite,Entire home/apt,1,1,3,139.0
37.75305,-122.43465,House,Entire home/apt,1,2,30,275.0
37.78068,-122.48146,House,Entire home/apt,2,3,5,520.0
37.78937,-122.42937,Loft,Entire home/apt,1,1,30,162.0
37.80153,-122.4094,Apartment,Entire home/apt,1,2,30,185.0
37.76037,-122.40414,Apartment,Private room,0,1,2,178.0
37.80627,-122.41919,Apartment,Entire home/apt,1,2,3,395.0
37.79147,-122.40848,Apartment,Entire home/apt,1,1,30,123.0
37.76063,-122.44618,Condominium,Private room,1,1,1,115.0
37.75621,-122.41555,Apartment,Private room,1,1,1,120.0
37.75495,-122.41683,Apartment,Private room,1,1,1,120.0
37.76739,-122.4493,Condominium,Entire home/apt,1,1,30,175.0
37.77154,-122.43888,Apartment,Entire home/apt,1,1,30,225.0
37.76411,-122.42159,House,Entire home/apt,1,3,3,350.0
37.77046,-122.44772,Apartment,Entire home/apt,1,1,30,152.0
37.80508,-122.44226,Apartment,Entire home/apt,1,1,30,135.0
37.73868,-122.42949,House,Entire home/apt,1,2,14,250.0
37.75692,-122.41116,Loft,Entire home/apt,1,1,7,399.0
37.74668,-122.41401,House,Entire home/apt,1,2,30,144.0
37.74387,-122.45375,House,Entire home/apt,2,3,2,410.0
37.75634,-122.40976,Cottage,Private room,1,1,2,80.0
37.74259,-122.42804,Guest suite,Entire home/apt,1,1,3,139.0
